,Name,Rating,Price,Department
99,Highlights of Barcelona: discover the historic Gothic Quarter,4.6 out of 5 stars,$69.00,Amazon Explore
100,"AGLUCKY Ice Maker Machine for Countertop, Portable Ice Cube Makers, Make 26 lbs ice in…",4.5 out of 5 stars,$124.99 - $139.99,Appliances
101,"Igloo ICEB26AQ Automatic Portable Electric Countertop Ice Maker Machine, 26 Pounds in…",4.3 out of 5 stars,$129.99 - $296.30,Appliances
102,GE Profile Opal | Countertop Nugget Ice Maker with Side Tank | Portable Ice Machine with…,4.5 out of 5 stars,$529.00 - $778.00,Appliances
103,"Portable Ice Maker, 26Lbs/24H Self-Cleaning Ice Maker Machine for Countertop, 9 Ice…",4.3 out of 5 stars,$129.99,Appliances
104,"Essential Values Ice Machine Cleaner 16 fl oz, Nickel Safe Descaler | Ice Maker Cleaner…",4.5 out of 5 stars,$13.99,Appliances
105,OxiClean Gel Sticks - 6.2 oz - 2 pk by OxiClean,4.9 out of 5 stars,$18.21,Appliances
106,"2-Pack Ice Machine Cleaner and Descaler 16 fl oz, Nickel Safe Descaler | Ice Maker Cleaner…",4.5 out of 5 stars,$19.99,Appliances
107,"Midea MRU01M3ABB Freezer, 1.1 Cu.ft, Black, 30 Pounds",4.6 out of 5 stars,$137.57 - $637.50,Appliances
108,"Countertop Ice Maker Machine, Elechomes Portable Ice Maker with Handle, 27lbs Ice Per…",4.6 out of 5 stars,$89.99 - $109.99,Appliances
109,Broan-NuTone 412101 Non-Ducted Ductless Range Hood with Lights Exhaust Fan for…,4.7 out of 5 stars,$40.23 - $182.49,Appliances
110,"Frigidaire EFIC189-Silver Compact Ice Maker, 26 lb per Day, Silver",4.5 out of 5 stars,$129.99,Appliances
111,Koolatron Compact Chest Freezer with flip-up lid and 3.5 Cubic Feet Capacity - Mini Indoor…,4.5 out of 5 stars,$218.90 - $482.00,Appliances
112,"Euhomy Ice Maker Machine Countertop, 26 lbs in 24 Hours, 9 Cubes Ready in 6 Mins, Electric…",4.5 out of 5 stars,$124.99,Appliances
113,"Ice Maker Machine for Countertop, Self-Cleaning Function, 26Lbs/24H Portable Ice…",4.5 out of 5 stars,$118.99 - $189.99,Appliances
114,"FRIGIDAIRE EFIC235-AMZ Countertop Crunchy Chewable Nugget Ice Maker, 44lbs per Day,…",3.9 out of 5 stars,Click for details,Appliances
115,"5 cu ft Chest Freezer for Your House, Garage, Basement, Apartment, Kitchen, Cabin, Lake…",4.5 out of 5 stars,$204.00,Appliances
116,Broan-NuTone 413004 Non-Ducted Ductless Range Hood with Lights Exhaust Fan for…,4.7 out of 5 stars,$79.14,Appliances
117,"CROWNFUL Ice Maker Machine for Countertop, 9 Bullet Ice Cubes S/L Ready in 7 Minutes,…",4.5 out of 5 stars,$99.99 - $139.99,Appliances
118,"Frigidaire EFIC117-SSBLACK-COM EFIC117-SSBLACK 26 Lbs Portable Compact Maker,…",4.4 out of 5 stars,$97.91 - $251.97,Appliances
119,Giantex Portable Mini Compact Twin Tub Washing Machine 17.6lbs Washer Spain…,4.3 out of 5 stars,$189.99,Appliances
120,"Broan-NuTone BCSD130BC Glacier Range Hood with Light, Exhaust Fan for Under Cabinet,…",4.5 out of 5 stars,$111.29 - $457.55,Appliances
121,"Wizisa Ice Maker Machine for Countertop, 9 Bullet Ice Cubes Ready in 6 Minutes, 26lbs in…",4.6 out of 5 stars,$99.99,Appliances
122,Farberware Professional FCD06ABBWHA Compact Portable Countertop Dishwasher…,4.5 out of 5 stars,$296.45,Appliances
123,Ice Maker Portable Ice Maker Countertop Ice Maker Machine for Home/Office/Camping…,4.7 out of 5 stars,$92.55,Appliances
124,"Arctic King ARC070S0ARBB 7 cu ft Chest Freezer, Black",4.3 out of 5 stars,$237.97,Appliances
125,Igloo ICEB33BK Large-Capacity Automatic Portable Electric Countertop Ice Maker…,4.2 out of 5 stars,$139.99 - $340.21,Appliances
126,Broan-NuTone SP3004 Reversible Stainless Steel Backsplash Range Hood Wall Shield for…,4.7 out of 5 stars,$62.00,Appliances
127,"COSTWAY Mini Washing Machine with Spin Dryer, Washing Capacity 5.5lbs, Electric…",3.8 out of 5 stars,$99.99,Appliances
128,Black + Decker BPWM09W Portable Washer,4.5 out of 5 stars,$236.88,Appliances
129,"Countertop Dishwasher, HAVA Portable Dishwashers with 5 L Built-in Water Tank &…",4.6 out of 5 stars,$349.99,Appliances
130,"1.6 Cu.ft Portable Washing Machine, 11lbs Capacity Fully Automatic Compact Washer…",4.5 out of 5 stars,$301.65,Appliances
131,"Midea MRC070S0AWW Chest Freezer, 7.0 Cubic Feet, White",4.5 out of 5 stars,$330.52,Appliances
